Comparing Avocado and Cambiare...
---   	294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	7345  	292384	1116  	1358  	288984	288948	294606	292611	5797  	28593 	268562	10549 	294557	288067	1393  	254006	294573	288129	290748	85494 	272388	1377  	295524	6246  	1368  	247447	272137	294446	89402 	28914 	10333 	294648	90358 	2983  	89962 	5344  	7329  	89993 	28676 	31247 	30281 	247754	294361	171475
88063 	294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	7345  	292384	1116  	1358  	288984	288948	294606	292611	5797  	87434 	28593 	268562	294557	288067	1393  	254006	294573	288129	290748	85494 	---   	1377  	295524	---   	1368  	247447	272137	294446	89402 	28914 	10333 	294648	90358 	2983  	89962 	5344  	7329  	89993 	28676 	31434 	31547 	246893	294361	171475
Comparing Avocado and FlagStaff...
294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	7345  	292384	1116  	1358  	288984	288948	294606	292611	5797  	28593 	268562	10549 	294557	288067	1393  	254006	294573	288129	290748	85494 	272388	1377  	295524	6246  	1368  	247447	272137	294446	89402 	28914 	10333 	294648	90358 	2983  	89962 	5344  	7329  	89993 	28676 	31247 	30281 	247754	294361	171475
294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	277723	292384	1116  	1358  	288984	288948	294606	292611	5797  	28593 	268562	---   	294557	288067	1393  	254006	294573	359   	290748	85494 	---   	1377  	294562	6246  	1368  	---   	272137	294446	89402 	10333 	92288 	294648	256591	30707 	12053 	5344  	90475 	7329  	294451	28676 	90672 	246893	294361	171475
Comparing Avocado and GodSpeed_Draft...
294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	---   	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	7345  	292384	1116  	1358  	288984	288948	294606	292611	5797  	28593 	268562	10549 	294557	288067	1393  	254006	294573	288129	290748	85494 	272388	1377  	295524	6246  	1368  	247447	272137	294446	89402 	28914 	10333 	294648	90358 	2983  	89962 	5344  	7329  	89993 	28676 	31247 	30281 	247754	294361	171475
294522	292359	294281	292482	283416	269498	290650	273745	287560	292371	290769	289010	294299	273928	273541	273007	292454	294284	294283	294632	294364	292720	292369	176775	84641 	277723	292384	1116  	1358  	288984	288948	294606	292611	5797  	28593 	268562	---   	294557	288067	1393  	254006	294573	359   	290748	85494 	---   	1377  	---   	6246  	1368  	---   	272137	294446	89402 	---   	10333 	92288 	12053 	5344  	273279	90475 	7329  	294451	28676 	273490	273305	246893	295724	171475
Comparing Avocado and Pace1224_Draft...
294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	7345  	292384	1116  	1358  	288984	288948	294606	292611	5797  	28593 	268562	10549 	294557	288067	1393  	254006	294573	288129	290748	85494 	272388	1377  	295524	6246  	1368  	247447	272137	294446	89402 	28914 	10333 	294648	90358 	2983  	89962 	5344  	---   	7329  	89993 	28676 	---   	31247 	30281 	247754	294361	171475
294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	274644	292454	294284	294283	294632	294364	292720	292369	176775	84641 	277723	292384	1116  	1358  	288984	288948	294606	292611	5797  	28593 	268562	---   	294557	288067	1393  	254006	294573	359   	290748	85494 	---   	1377  	295524	6246  	136903	1368  	272137	294446	89402 	10333 	92288 	294648	256591	30707 	12053 	5344  	90475 	7329  	294451	28676 	136786	273699	137206	295724	294427	171475
Comparing Cambiare and FlagStaff...
88063 	---   	294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	7345  	292384	1116  	1358  	288984	288948	294606	292611	5797  	87434 	28593 	268562	294557	288067	1393  	254006	294573	288129	290748	85494 	1377  	295524	1368  	247447	272137	294446	89402 	28914 	10333 	294648	90358 	2983  	89962 	5344  	7329  	89993 	28676 	31434 	31547 	246893	294361	171475
294361	171475	294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	277723	292384	1116  	1358  	288984	288948	294606	292611	5797  	---   	28593 	268562	294557	288067	1393  	254006	294573	359   	290748	85494 	1377  	294562	6246  	1368  	272137	294446	89402 	10333 	92288 	294648	256591	30707 	12053 	5344  	90475 	7329  	294451	28676 	90672 	246893	294361	171475
Comparing Cambiare and GodSpeed_Draft...
88063 	---   	294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	---   	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	7345  	292384	1116  	1358  	288984	288948	294606	292611	5797  	87434 	28593 	268562	294557	288067	1393  	254006	294573	288129	290748	85494 	1377  	295524	1368  	247447	272137	294446	89402 	28914 	10333 	294648	90358 	2983  	89962 	5344  	7329  	89993 	28676 	31434 	31547 	246893	294361	171475
295724	171475	294522	292359	294281	292482	283416	269498	290650	273745	287560	292371	290769	289010	294299	273928	273541	273007	292454	294284	294283	294632	294364	292720	292369	176775	84641 	277723	292384	1116  	1358  	288984	288948	294606	292611	5797  	---   	28593 	268562	294557	288067	1393  	254006	294573	359   	290748	85494 	1377  	6246  	1368  	---   	272137	294446	89402 	---   	10333 	92288 	12053 	5344  	273279	90475 	7329  	294451	28676 	273490	273305	246893	295724	171475
Comparing Cambiare and Pace1224_Draft...
88063 	---   	294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	7345  	292384	1116  	1358  	288984	288948	294606	292611	5797  	87434 	28593 	268562	294557	288067	1393  	254006	294573	288129	290748	85494 	1377  	295524	---   	1368  	247447	272137	294446	89402 	28914 	10333 	294648	90358 	2983  	89962 	5344  	---   	7329  	89993 	28676 	---   	31434 	31547 	246893	294361	171475
294427	171475	294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	274644	292454	294284	294283	294632	294364	292720	292369	176775	84641 	277723	292384	1116  	1358  	288984	288948	294606	292611	5797  	---   	28593 	268562	294557	288067	1393  	254006	294573	359   	290748	85494 	1377  	295524	6246  	136903	1368  	272137	294446	89402 	10333 	92288 	294648	256591	30707 	12053 	5344  	90475 	7329  	294451	28676 	136786	273699	137206	295724	294427	171475
Comparing FlagStaff and GodSpeed_Draft...
294522	292359	294281	292482	283416	269498	290650	294673	287560	292371	290769	289010	294299	273928	---   	262757	292454	294284	294283	294632	294364	292720	292369	176775	84641 	277723	292384	1116  	1358  	288984	288948	294606	292611	5797  	28593 	268562	294557	288067	1393  	254006	294573	359   	290748	85494 	1377  	294562	6246  	1368  	272137	294446	89402 	10333 	92288 	294648	256591	30707 	12053 	5344  	90475 	7329  	294451	28676 	---   	90672 	246893	294361	171475
